name,addr,tel
신당점,서울 중구 무학동 58,02-2285-2811
신당2점,"서울시 중구 다산로36길 11,1층(신당동) 304-585",02-2234-1116
동대문점,서울 중구 을지로6가 23-26 지상1층,02-2272-0984
동대문패션타운점,"서울특별시 중구 마장로1길 28-11 (신당동) 신당동,1층",02-2256-6816
왕십리행운점,"서울특별시 성동구 마장로 137 403동 1층 121호(상왕십리동, 텐즈힐)",02-2281-9282
종로6가점,서울 종로구 종로6가 138-1번지,02-741-5067
행당점,서울특별시 성동구 무학봉길 53-1 (하왕십리동) 1층,02-2299-6737
남산타운점,서울 중구 신당동 844 남산타운5상가 215호,02-2256-9292
금호점,서울 성동구 금호동4가 128,02-2296-3515
성북스타2호점,서울 종로구 창신동 22-3 1층,02-3673-5582
옥수점,서울 성동구 옥수동 243 2층,02-2299-9635
명동점,"서울특별시 중구 명동8가길 22 (충무로2가, 충무로패션몰리지상가) 3층",02-318-4138
종로본점,서울특별시 종로구 청계천로 81 (관철동),02-725-9282
용두점,"서울특별시 동대문구 정릉천동로 58 (용두동, 롯데캐슬피렌체) (용두동,롯데캐슬피렌체 107호)",02-959-9282
마장점,서울특별시 성동구 마장로 299 (마장동) ,02-2234-9282
인사동점,서울특별시 종로구 인사동3길 37 (인사동) ,02-732-5316
대학로점(치킨앤비어),서울 종로구 명륜동2가 22-2 도가빌딩 1층,02-3676-7792
안국점,서울특별시 종로구 창덕궁길 84 (원서동) ,02-745-1676
명륜점,서울 종로구 명륜3가 2~160 53 유림회관부속동1층 20,02-742-4442
남대문점,서울특별시 중구 남대문시장4길 42-1 (남창동),02-755-7774
성수2점,서울 성동구 성수1가2동 13-78,02-499-9464
용답답십리역점,서울 성동구 용답동 56-11번지 1층,02-2241-9280
압구정점,"서울특별시 강남구 압구정로 309 B동 1층 110호(압구정동, 주구센터)",02-544-0070
성수3점,"서울특별시 성동구 성덕정길 59 (성수동1가,1층) ",02-467-9282
보광점,서울 용산구 보광동 258-9,02-749-8000
정릉중앙점,서울 성북구 정릉동 587번지 정릉꿈의그린 2단지 상가,02-913-4235
효자점,서울 종로구 옥인동 92번지,02-723-3785
전농점 Cafe,서울 동대문구 전농동 38-18,02-2244-6473
만리점,서울 마포구 공덕동 7-249,02-715-6112
종암1동점,서울 성북구 종암동 84-39번지 1층,02-924-9280
길음역점,"서울특별시 성북구 동소문로 248 (길음동, 삼부아파트) 102동 1층 4호,5호",02-942-9282
신사점,서울 강남구 신사동  561-22,02-3444-0575
독립문점,서울특별시 서대문구 독립문로14길 3 (냉천동) 제상가동 제1층 104호,02-363-2494
동대문스타점,서울특별시 동대문구 한천로 133 (답십리동) 1층,02 2242 9283
월곡역점,"서울특별시 성북구 화랑로 76 (하월곡동, 코업스타클래스) ",02-910-1888
경희궁자이점,서울 종로구 무악동 45-304,02-720-1008
이문동점,서울 동대문구 휘경동 183-386 나호,02-959-5949
군자점,서울 광진구 군자동 364,02-498-7883
논현중앙점,"서울특별시 강남구 언주로136길 10 (논현동,1층)",02-545-1515
마포공덕점,"서울특별시 마포구 마포대로 156 (공덕동, 공덕푸르지오시티 1층 110호) ",02-712-9282
길음점,서울 성북구 길음동 1170,02-909-0101
용산점,서울 용산구 용산동5가 24외 1필지 파크타워비14호,02-798-9282
장안행복점,서울특별시 동대문구 사가정로25길 60 (장안동) 1층,02-2242-9283
정릉행복점,서울특별시 성북구 보국문로 83-1 (정릉동) 1층 (주)엘와이에프앤비,02-941-9285
반포중앙점,"서울특별시 서초구 신반포로23길 41 (잠원동, 잠원상가) 121호 122호",02-533-9918
자양3점,"서울특별시 광진구 능동로 49 (자양동,1층)",02-446-2665
학동역점,서울특별시 강남구 학동로34길 23 (논현동) 1층,02-512-9282
이촌점,"서울 용산구 이촌로75길 10-7,105 ",02-796-7434
마포도화점,서울 마포구 도화동 7-20,02-701-9992
이대점,"서울특별시 서대문구 이화여대5길 35 1층 115호(대현동, 신촌영타운 지웰)",02-363-4236
정릉풍림스타점,"서울특별시 성북구 솔샘로 116 (정릉동, 정릉풍림아이원) 1층",02-941-9289
