name,addr,tel
세곡캠퍼스,세곡동/헌릉로,02-459-1114
강일캠퍼스,강일동/아리수로93길,02-481-0574
미아뉴타운캠퍼스,미아동/삼양로19길,02-985-0582
월곡뉴타운캠퍼스,미아동/월계로,02-983-0566
수유캠퍼스,수유동/노해로7길,02-990-0566
발산캠퍼스,내발산동/강서로,02-2663-0594
등촌3캠퍼스,등촌동/공항대로41길,02-3662-9040
신곡캠퍼스,화곡동/곰달래로53가길,02-2642-1396
신정캠퍼스,화곡동/곰달래로31가길,02-2699-3181
화곡1캠퍼스,화곡동/강서로31길,02-2603-1867
화곡캠퍼스,화곡동/화곡로,02-2602-9144
화일캠퍼스,화곡동/까치산로4길,02-2603-0205
남현캠퍼스,남현동/남부순환로260길,02-584-3658
아벨캠퍼스,봉천동/행운1길,02-888-6861
난향캠퍼스,신림동/난향길,02-865-0577
해오름캠퍼스,신림동/문성로,02-863-8080
개봉캠퍼스,개봉동/개봉로20길,02-2685-1239
영서캠퍼스,구로동/도림로,02-855-1441
궁동캠퍼스,궁동/오리로,02-2684-6010
오류캠퍼스,오류동/오류로8길,02-2682-1004
천왕캠퍼스,천왕동/천왕로,02-2066-6050
독산캠퍼스,독산동/시흥대로94길,02-891-4800
금동캠퍼스,시흥동/금하로,02-806-6660
신흥캠퍼스,시흥동/독산로40길,02-808-3721
공릉2캠퍼스,공릉동/공릉로,02-972-0505
상계1캠퍼스,상계동/동일로,02-952-8621
상계3캠퍼스,상계동/덕릉로,02-937-1018
월계캠퍼스,월계동/월계로,02-900-8778
중계캠퍼스,중계동/동일로207길,02-906-0582
도봉2캠퍼스,도봉동/도봉로180나길,02-3494-5520
동북캠퍼스,쌍문동/시루봉로,02-904-0566
우이캠퍼스,쌍문동/삼양로,02-902-0566
창동캠퍼스,창동/노해로62길,02-994-1328
답십리캠퍼스,답십리동/전농로,02-2216-1032
이문캠퍼스,이문동/신이문로,02-959-0566
전농캠퍼스,전농동/사가정로,02-2215-4666
사당캠퍼스,사당동/사당로13길,02-533-0590
신대방캠퍼스,신대방동/여의대방로,02-841-2010
흑석캠퍼스,흑석동/흑석한강로,02-813-5242
망원캠퍼스,망원동/월드컵로,02-333-3555
성산캠퍼스,성산동/새터산2길,02-302-3370
북가좌캠퍼스,북가좌동/거북골로,02-302-6474
방배캠퍼스,방배동/효령로,02-3474-0535
마장캠퍼스,마장동/마장로,02-2296-0787
성수2캠퍼스,성수동2가/광나루로2길,02-466-0968
길음1캠퍼스,길음동/길음로9길,02-3292-0582
상월곡캠퍼스,상월곡동/장월로1길,02-914-0582
정릉캠퍼스,정릉동/아리랑로,02-914-6240
위례송파1캠퍼스,장지동/위례광장로,02-402-0579
강신캠퍼스,신월동/월정로,02-2604-0509
강월캠퍼스,신월동/월정로,02-2694-0522
신월1캠퍼스,신월동/월정로,02-2608-3157
당산캠퍼스,당산동4가/당산로36길,02-2637-0808
신대림캠퍼스,대림동/디지털로66길,02-849-5977
도림캠퍼스,신길동/가마산로61가길,02-843-0505
영신캠퍼스,신길동/가마산로79길,02-833-2876
당산영중캠퍼스,영등포동6가/양산로,02-2678-3121
효창캠퍼스,효창동/효창원로,02-701-9115
갈현캠퍼스,갈현동/갈현로,02-357-4131
구산캠퍼스,구산동/갈현로,02-358-4630
불광캠퍼스,불광동/불광로,02-387-4855
신사캠퍼스,신사동/은평터널로,02-302-1088
역촌캠퍼스,역촌동/진흥로1길,02-384-7905
응암캠퍼스,응암동/응암로12길,02-303-0502
신당캠퍼스,신당동/다산로36가길,02-2252-7378
약수캠퍼스,신당동/동호로7길,02-2236-3757
면동캠퍼스,면목동/면목로57길,02-435-0582
면목캠퍼스,면목동/봉우재로,02-2209-0579
강화엘리트캠퍼스,강화읍/북문길,032-933-2625
부평캠퍼스,계산동/경명대로,032-554-0522
당산캠퍼스,동양동/당미1길,032-551-0579
계양캠퍼스,용종동/계산새로,032-555-6631
계산캠퍼스,작전동/주부토로,032-552-0582
작전계양캠퍼스,작전동/주부토로363번길,032-551-0055
간석경원캠퍼스,주안동/경인로,032-446-0588
간석4동캠퍼스,간석동/경원대로,032-422-1333
인동캠퍼스,구월동/구월로,032-468-7525
논현캠퍼스,논현동/논고개로,032-435-0522
남동캠퍼스,만수동/장승남로,032-463-0506
만수2동캠퍼스,만수동/만수로,032-466-2182
서창캠퍼스,서창동/매소홀로,032-472-0522
동부캠퍼스,송림동/송림로,032-763-1758
송현캠퍼스,송현동/화수로,032-777-0295
도화캠퍼스,도화동/경인로,032-863-8600
서화캠퍼스,도화동/숙골로,032-875-8445
용현캠퍼스,용현동/독배로317번길,032-876-2224
주안북캠퍼스,주안동/석정로375번길,032-875-4538
부개3동캠퍼스,부개동/길주남로,032-362-2888
부개캠퍼스,부개동/동수로128번길,032-504-0583
산곡4동캠퍼스,산곡동/원적로,032-330-5400
삼산1지구캠퍼스,삼산동/체육관로,032-504-7337
삼산2지구캠퍼스,삼산동/평천로,032-513-0589
청천2캠퍼스,청천동/마장로,032-515-2031
동춘캠퍼스,동춘동/앵고개로246번길,032-817-8981
연성캠퍼스,동춘동/원인재로,032-812-1411
송도캠퍼스,송도동/해돋이로120번길,032-851-5156
연수캠퍼스,연수동/원인재로,032-814-0388
중앙캠퍼스,연수동/새말로,032-819-9956
옥련캠퍼스,옥련동/독배로40번길,032-833-2856
신포캠퍼스,신흥동2가/인중로,032-765-3700
영종하늘캠퍼스,중산동/하늘별빛로,032-752-0579
고양캠퍼스,고양동/혜음로,031-969-0579
도래울캠퍼스,도내동/도래울로,031-962-0582
능곡캠퍼스,토당동/지도로,031-971-0592
서정캠퍼스,행신동/소원로266번길,031-973-0609
햇빛캠퍼스,행신동/중앙로558번길,031-978-0588
화정옥빛캠퍼스,화정동/중앙로,031-973-0538
가좌캠퍼스,가좌동/가좌3로,031-923-1105
대화마을캠퍼스,대화동/대화1로,031-924-0511
소하캠퍼스,소하동/금하로,02-897-0505
일직캠퍼스,일직동/양달로10번길,02-899-3220
하안캠퍼스,하안동/오리로,02-2135-3805
경안캠퍼스,경안동/중앙로145번길,031-764-5255
쌍령캠퍼스,쌍령동/경충대로1422번길,031-797-1771
매곡캠퍼스,오포읍/양벌로,031-765-6161
광남캠퍼스,중대동/고불로,031-798-5956
초월샘터캠퍼스,초월읍/경충대로,031-766-2110
갈매캠퍼스,갈매동/갈매중앙로,031-529-0579
인창1캠퍼스,인창동/건원대로34번길,031-553-0080
화산캠퍼스,금정동/번영로,031-398-3327
군포캠퍼스,당동/군포로,031-391-0582
김포은여울캠퍼스,/,031-994-8002
감정캠퍼스,감정동/중봉로,031-983-1182
고촌캠퍼스,고촌읍/은행영사정로,031-8049-2000
김포한가람캠퍼스,구래동/김포한강8로,031-985-0594
대곶캠퍼스,대곶면/율생로,031-987-4747
학운캠퍼스,양촌읍/황금로70번길,031-991-9981
운양캠퍼스,운양동/김포한강1로,031-997-6766
장기글로벌캠퍼스,장기동/김포한강4로,031-998-0584
유현캠퍼스,풍무동/유현로33번길,031-981-0917
풍무연세캠퍼스,풍무동/풍무로,031-997-0380
가운캠퍼스,다산동/가운로2길,031-558-9905
다산1캠퍼스,다산동/다산중앙로172번길,031-555-4487
다산2캠퍼스,다산동/다산지금로,031-556-4487
도농캠퍼스,다산동/도농로,031-558-0588
별내캠퍼스,별내동/별내3로,02-1644-4013
양지오남캠퍼스,오남읍/양지로,031-573-0567
오남캠퍼스,오남읍/진건오남로,02--
덕소캠퍼스,와부읍/수레로9번길,031-577-3998
도곡캠퍼스,와부읍/덕소로,031-521-5658
사능캠퍼스,진건읍/진건오남로,031-575-0522
장현캠퍼스,진접읍/장현로,031-528-1469
진접캠퍼스,진접읍/해밀예당3로,031-527-8205
퇴계원캠퍼스,퇴계원면/퇴계원로59번길,031-574-0590
평내캠퍼스,평내동/평내로,031-591-3427
호평캠퍼스,호평동/호평로,031-591-6677
마석송라캠퍼스,화도읍/맷돌로,031-594-0582
월산캠퍼스,화도읍/경춘로2290번길,031-593-0509
창현캠퍼스,화도읍/수레로1260번길,031-594-0512
동두천남부캠퍼스,지행동/동두천로,031-865-0559
고강동캠퍼스,고강동/역곡로,032-682-5114
상1동캠퍼스,상동/상일로,032-328-0588
소사2동캠퍼스,소사본동/호현로,032-345-5878
소사본3동캠퍼스,소사본동/소사동로,032-341-1130
원미동캠퍼스,원미동/조종로,032-651-0584
원종동캠퍼스,원종동/소사로776번길,032-674-7337
계남캠퍼스,중동/부흥로,02-955-0566
중동캠퍼스,중동/장말로216번길,032-611-0505
태평캠퍼스,태평동/성남대로,031-753-0594
대원캠퍼스,상대원동/희망로327번길,031-742-0822
상원캠퍼스,은행동/산성대로,031-744-2978
권선중앙캠퍼스,권선동/세지로140번길,031-233-0579
연무캠퍼스,연무동/월드컵로,031-252-9901
장안캠퍼스,정자동/수성로245번길,031-246-0582
금모래캠퍼스,계수동/은계로,031-313-0536
능곡캠퍼스,능곡동/장현능곡로,031-404-4320
신일캠퍼스,은행동/시흥대로1074번길,031-404-0582
장곡캠퍼스,장곡동/장곡로,031-318-8117
장현캠퍼스,장현동/시청로68번길,031-404-8252
배곧캠퍼스,정왕동/배곧4로,031-432-0500
목감캠퍼스,조남동/목감남서로,031-401-1555
연성캠퍼스,하중동/하중로,031-316-0575
고잔캠퍼스,고잔동/당곡2로,031-414-3283
신길캠퍼스,신길동/신길로,031-495-8505
본오캠퍼스,본오동/본오로,031-418-0594
사동캠퍼스,사동/감골1로,031-419-0582
양진캠퍼스,공도읍/진사길,010-8250-5966
안성비룡캠퍼스,당왕동/비룡1길,031-672-8683
샘모루캠퍼스,비산동/관악대로,031-385-7444
석수캠퍼스,석수동/와룡로,031-473-3377
만안캠퍼스,안양동/태평로52번길,031-469-0582
안양서캠퍼스,안양동/장내로,031-448-0522
안양캠퍼스,안양동/삼덕로,031-465-0585
양주고읍캠퍼스,광사동/고읍로,031-841-0888
한일캠퍼스,광적면/부흥로,031-836-1582
덕계캠퍼스,덕계동/평화로,031-868-0114
양주옥정캠퍼스,옥정동/옥정로,031-862-0090
세종캠퍼스,교동/세종로,031-881-0582
여주오학캠퍼스,오학동/도예로,031-885-0522
전곡캠퍼스,전곡읍/온골로,031-833-0579
오산캠퍼스,궐동/궐리사로46번길,031-374-5305
원동캠퍼스,원동/경기대로,031-375-0505
세마캠퍼스 ,지곶동/세마문학로,010-7494-0582
상갈캠퍼스,상갈동/금화로,031-287-4561
구갈캠퍼스,신갈동/신갈로124번길,031-548-0505
죽전캠퍼스,죽전동/현암로,031-897-0581
수지1캠퍼스,풍덕천동/문정로,031-262-9553
한숲캠퍼스,남사면/한숲로,031-332-6696
민락부용캠퍼스,민락동/오목로,031-853-7874
민락삼현캠퍼스,민락동/용민로,031-853-0312
민락송산캠퍼스,민락동/오목로,031-853-3919
발곡캠퍼스,신곡동/동일로466번길,031-856-3919
회룡캠퍼스,호원동/호암로,031-829-0509
이천중앙캠퍼스,갈산동/향교로,031-632-0542
남이천캠퍼스,중리동/어재연로,031-631-8573
증포캠퍼스,증포동/이섭대천로1407번길,031-635-0535
봉일천캠퍼스,조리읍/통일로,031-949-7905
효덕캠퍼스,고덕면/서동대로,031-665-5982
동삭캠퍼스,동삭동/동삭로,031-651-1885
평택캠퍼스,통복동/원평2로27번길,031-653-6107
포승캠퍼스,포승읍/여술로,031-684-7888
송우캠퍼스,소흘읍/송우로,031-541-1245
신평캠퍼스,신장동/하남대로,031-795-0504
남양캠퍼스,/,031-355-7909
와우캠퍼스,봉담읍/와우로,031-267-0502
정남캠퍼스,정남면/만년로,031-354-9177
제암캠퍼스,향남읍/발안남로55번길,031-354-5673
강릉내곡캠퍼스,노암동/남부로125번길,033-645-0571
고성캠퍼스,간성읍/간성로,033-681-5233
동해대동캠퍼스,나안동/청운1길,033-522-6612
동해천곡캠퍼스,천곡동/항골길,033-533-8300
삼척원당캠퍼스,원당동/오십천로,033-574-8205
조양캠퍼스,조양동/조양상가길,033-635-0550
양구캠퍼스,양구읍/청춘로,033-481-0586
주천캠퍼스,주천면/주천로,033-375-0594
퍼스트캠퍼스,개운동/행구로,033-766-0533
단관캠퍼스,관설동/단관길,033-761-8505
단계캠퍼스,단계동/원문로100번길,033-745-0505
평원캠퍼스,단계동/평원초교길,033-732-8205
남원주캠퍼스,단구동/늘품로,070-8880-0595
주립캠퍼스,명륜동/예술관길,033-766-0582
무실캠퍼스,무실동/만대로,033-743-8205
동화캠퍼스,문막읍/왕건로,033-743-0582
버들캠퍼스,반곡동/입춘로,033-731-0595
우산캠퍼스,우산동/진광길,033-732-1014
기업섬강캠퍼스,지정면/가곡로,033-734-0512
태일캠퍼스,태장동/치악로,033-900-8205
신철원캠퍼스,갈말읍/명성로139번안길,033-452-0522
동송캠퍼스,동송읍/이평로,033-455-0561
석사거두캠퍼스,동내면/춘천순환로,033-264-0501
만천캠퍼스,동면/만천양지길,033-255-0594
봄내캠퍼스,석사동/퇴계로,033-263-1212
소양캠퍼스,우두동/영서로,033-241-3694
칠전캠퍼스,칠전동/칠전서길,033-257-3558
퇴계남춘천캠퍼스,퇴계동/행촌로,033-254-1150
부안캠퍼스,후평동/백령로,033-252-2303
