name,addr,tel
GOLFZON PARK 교동 OK스크린,강원 강릉시 교동 1053-6,033-644-5600
GOLFZON PARK 교동 홀인원골프,강원 강릉시 교동 1871-2 실크로드빌딩3층,033-642-5969
GOLFZON PARK 내곡 패밀리골프,강원 강릉시 내곡동 332 패밀리스크린,033-655-1872
GOLFZON PARK 옥계 차도스크린,강원 강릉시 옥계면 현내리 977,033-535-0069
GOLFZON PARK 유산 유산스크린,강원 강릉시 유산동 95-1,033-643-8800
GOLFZON PARK 입암 이글스크린,강원 강릉시 입암동 429-2 이글스크린골프(2층),033-647-0005
GOLFZON PARK 포남 백마스크린,강원 강릉시 포남동 1152-5,033-645-3336
GOLFZON PARK 포남 한솔스크린,강원 강릉시 포남동 1230 가동 2층,033-653-0076
GOLFZON PARK 홍제 하슬라골프,강원 강릉시 홍제동 456,033-641-5799
GOLFZON PARK 홍제 다올스크린 ,강원 강릉시 홍제동 841,033-643-9669
GOLFZON PARK 내곡 회산스크린,강원 강릉시 회산로 244 회산동 9통5반,033-645-5533
GOLFZON PARK 천곡 위너점,강원 동해시 천곡동 1015-2,033-535-0707
GOLFZON PARK 천곡 동명스크린,강원 동해시 천곡동 832,033-535-1872
GOLFZON PARK 교동 아남스크린,강원 속초시 교동 737-7 아남프라자 6층,033-633-3700
GOLFZON PARK 교동 킹스크린,강원 속초시 교동 800-8 킹스크린골프,033-638-2000
GOLFZON PARK 조양 청초속초,강원 속초시 조양동 1034-49,033-638-6868
GOLFZON PARK 영월 별마로골프,강원 영월군 영월읍 영흥리 837-6,033-372-8207
GOLFZON PARK 영월 CT골프존,강원 영월군 영월읍 하송리 252-1,033-373-7751
GOLFZON PARK 단계 킹스스크린,강원 원주시 단계동 114-7 2층 킹스스크린골프,033-748-1300
GOLFZON PARK 단계 락스크린,강원 원주시 단계동 668-4 668-1,033-735-0011
GOLFZON PARK 단구 휴스크린,강원 원주시 단구동 1610-3 아이린부페 뒷편,033-765-9994
GOLFZON PARK 단구 강변스크린,강원 원주시 단구동 206-2 강변스크린골프,033-765-0752
GOLFZON PARK 단구 월드스크린,강원 원주시 단구동 648-42,033-761-0011
GOLFZON PARK 무실 시청앞,강원 원주시 무실동 1724-14,033-743-0753
GOLFZON PARK 무실 36스크린,강원 원주시 무실동 634-1,033-764-6647
GOLFZON PARK 반곡 혁신,강원 원주시 반곡동 1901-2,033-733-1433
GOLFZON PARK 단계 봉화산골프,강원 원주시 서원대로 106 1층,033-733-0013
GOLFZON PARK 일산 원주스카이,강원 원주시 일산동 333 스카이스크린골프,033-735-3553
GOLFZON PARK 학성 정지뜰,강원 원주시 학성동 737-7,033-747-7005
GOLFZON PARK 행구 36스크린,강원 원주시 행구동 1690,033-747-0755
GOLFZON PARK 만종 원주센추리,강원 원주시 호저면 만종리 495-9 원주센추리스크린,033-747-8002
GOLFZON PARK 사북 사북골프존,강원 정선군 사북읍 사북리 377-21 사북중앙로 23 우성빌딩 3층,033-591-0974
GOLFZON PARK 장학 우리스크린,강원 춘천시 동면 장학리  산27-2,033-242-5979
GOLFZON PARK 퇴계 강남스크린,강원 춘천시 퇴계동 1160,033-255-8899
GOLFZON PARK 퇴계 남춘천점,강원 춘천시 퇴계동 348-15 남춘천스크린골프,033-251-0733
GOLFZON PARK 황지 대학로,강원 태백시 황지동 404-3,033-553-6666
GOLFZON PARK 대관령 용평스크린,강원 평창군 대관령면 용산리 130 용평리조트내 스크린골프,033-330-7231
GOLFZON PARK 홍천 캐슬스크린,강원 홍천군 홍천읍 연봉리 389-3,033-436-8008
GOLFZON PARK 화천 화천스크린,강원 화천군 화천읍 신읍리 638-2,033-442-5429
GOLFZON PARK 둔내 용성,강원 횡성군 둔내면 두원리 632-1,033-345-1111
GOLFZON PARK 횡성 횡성골프존,강원 횡성군 횡성읍 읍상리 686-7 횡성골프존스크린,033-345-2011
GOLFZON PARK 횡성 디오픈,강원 횡성군 횡성읍 읍하리 291-1,033-345-1077
GOLFZON PARK 가평 스마일골프,경기 가평군 가평읍 마장리 718-1,031-581-0707
GOLFZON PARK 가평 탑골프존,경기 가평군 가평읍 읍내리 616-6 2층 탑골프존,031-581-6221
GOLFZON PARK 설악 스크린골프,경기 가평군 설악면 유명로 1609 설악스크린 2층,031-585-3651
GOLFZON PARK 성사 신원당골프,경기 고양시 덕양구 성사동 720-1 비젼프라자 204호신원당스크린존,031-964-0220
GOLFZON PARK 화정 비발디,경기 고양시 덕양구 화정동 972 영플라자 8층 320평,031-967-0753
GOLFZON PARK 풍동 오장동골프,경기 고양시 일산동구 고일로142 오장동스크린골프,031-908-3457
GOLFZON PARK 마두 S.I 골프,경기 고양시 일산동구 마두동 806 올리브상가동지하 1층,031-901-0222
GOLFZON PARK 식사 월드스크린,경기 고양시 일산동구 식사동 942-2,031-967-1177
GOLFZON PARK 장항 정발산,경기 고양시 일산동구 장항동 846 센트럴프라자 712호,031-905-6999
GOLFZON PARK 풍동 비엠스크린,경기 고양시 일산동구 풍동 1278-3 웰빙타운 3층,031-917-1212
GOLFZON PARK 송산 가좌,경기 고양시 일산서구 가좌동 461-14,031-914-8555
GOLFZON PARK 주엽 주엽역,경기 고양시 일산서구 주엽동 18-2 서현프라자 606호,031-925-0797
GOLFZON PARK 철산 철산골프존,경기 광명시 철산동 416 다산빌딩 지하2층 철산골프존,02-2611-5888
GOLFZON PARK 하안 하안스크린,경기 광명시 하안동 302 녹원프라자 7층,02-899-2572
GOLFZON PARK 하안 아리랑골프,경기 광명시 하안동 62-5 신광빌딩 지하1층,02-803-2211
GOLFZON PARK 송정 미드웨이,경기 광주시 송정동 12-3 미드웨이빌딩 2층,031-769-0752
GOLFZON PARK 송정 굿샷스크린,경기 광주시 송정동 398-8 굿샷스크린,031-798-8290
GOLFZON PARK 경안 버디골프존,경기 광주시 쌍령동 158-1,031-769-4455
GOLFZON PARK 경안 광주골프,경기 광주시 쌍령동 417,031-761-8828
GOLFZON PARK 오포 해솔,경기 광주시 오포읍 문형리 561-6,031-797-6700
GOLFZON PARK 오포 더골프존,"경기 광주시 오포읍 신현리 709-1 태재고개정상 골프존 1,2층단독건물",031-713-7667
GOLFZON PARK 오포 티그린골프,경기 광주시 오포읍 양벌리 125 티그린 골프존,031-769-7989
GOLFZON PARK 장지 Joy,경기 광주시 장지동 42-4,031-767-7838
GOLFZON PARK 중대 OK스크린,경기 광주시 중대동 19-10,031-764-4242
GOLFZON PARK 중대 썬스크린,경기 광주시 중대동 279-1 호성빌딩,031-798-7080
GOLFZON PARK 송정 비전스크린,경기 광주시 탄벌동 11-6 하이마트 3층,031-763-8207
GOLFZON PARK 갈매 위너 스크린,경기 구리시 갈매동 380-5 오대타워4층,031-574-7701
GOLFZON PARK 갈매 하이골프,경기 구리시 갈매동 605-3,031-573-2626
GOLFZON PARK 갈매 더스크린,경기 구리시 갈매순환로 5 신우프라자 2층,031-575-6676
GOLFZON PARK 사노 ST스크린,경기 구리시 산마루로 251 (산마루로 251),031-527-2226
GOLFZON PARK 수택 에스더점,경기 구리시 수택동 873-3 정금빌딩2층,031-558-9140
GOLFZON PARK 토평 J골프존,경기 구리시 토평동 461-1 장원빌딩 2층 J골프존,031-558-8811
GOLFZON PARK 당정 SK골프존,경기 군포시 고산로 166 당정동 SK벤티움 101동 315호,031-436-0889
GOLFZON PARK 당정 노블레스,경기 군포시 당정동 988-2 광개토프라자401호,031-454-7077
GOLFZON PARK 도마교 송정,경기 군포시 도마교동 488-2,031-407-4079
GOLFZON PARK 부곡 첨단점,경기 군포시 부곡동 1244-3,031-462-0777
GOLFZON PARK 산본 VIP골프,경기 군포시 산본동 1026-52 L&C타워 2층,031-477-0753
GOLFZON PARK 산본 칼라힐골프,경기 군포시 산본동 1142-2 (CGV시네마 건물) 대우디오플러스 상가 B102호,031-392-8420
GOLFZON PARK 산본 한숲골프존,경기 군포시 산본천로 43-6 한숲스포츠센터 4층,031-396-7008
GOLFZON PARK 김포 하나골프,경기 김포시 감정동 527-1 도선빌딩4층 하나골프,031-998-1474
GOLFZON PARK 고촌 갤러리,경기 김포시 고촌읍 신곡리 1068-1 엔타운 7층,031-998-8998
GOLFZON PARK 고촌 한강스크린,경기 김포시 고촌읍 신곡리 1083 한강프라자 4층,031-983-3553
GOLFZON PARK 구래 메이저,경기 김포시 구래동 6880-2 엠스퀘어 5층,031-982-0753
GOLFZON PARK 구래 프라임,경기 김포시 구래동 6883-13 프라임시티 7층,031-998-0759
GOLFZON PARK 운양 한강신도시,경기 김포시 김포한강1로 247 김포운양헤리움타운6층,031-982-4198
GOLFZON PARK 김포 임펙트골프,경기 김포시 북변동 134-21 세웅1동2층 임펙트골프존,031-998-8860
GOLFZON PARK 사우 김포시청,경기 김포시 사우동 1078 3층,031-989-0782
GOLFZON PARK 사우 유성스크린,경기 김포시 사우동 339,031-989-7156
GOLFZON PARK 장기 M스크린점,경기 김포시 장기동 1364 희천빌딩 4층,031-996-9927
GOLFZON PARK 장기 스카이,경기 김포시 장기동 1610 신한프라자 1103호,031-996-1321
GOLFZON PARK 통진 타워스크린 ,경기 김포시 통진읍 마송리 515-4 7층,031-985-1000
GOLFZON PARK 풍무 럭시스크린,경기 김포시 풍무동 592-10 유현빌딩 A동 2층 럭시스크린골프존,031-983-9424
GOLFZON PARK 풍무 리체스크린,경기 김포시 풍무로 146번길 18 3층 경기 김포시 풍무로 146번길 18 3층,031-985-9820
GOLFZON PARK 다산 JK스크린,경기 남양주시 다산동 3073-1 타임스퀘어 6층,031-554-5208
GOLFZON PARK 다산 솔보스크린,경기 남양주시 다산동 3663-2,031-554-0707
GOLFZON PARK 다산 일레븐스크린,경기 남양주시 다산동 6053,031-553-0880
GOLFZON PARK 다산 OK스크린,경기 남양주시 다산동 666-3 드림프라자 4층,031-553-8899
GOLFZON PARK 별내 하이골프,경기 남양주시 별내동 1006-1 로데오몰 10층,031-572-2626
GOLFZON PARK 별내 골프친구,경기 남양주시 별내면 청학리 414,031-841-8589
GOLFZON PARK 별내 W스크린,경기 남양주시 별내중앙로 24 이례빌딩 9층,031-567-0753
GOLFZON PARK 다산 수석스크린,경기 남양주시 수석동 26,031-566-8801
GOLFZON PARK 오남 스타스크린,경기 남양주시 오남읍 오남리 185,031-572-2552
GOLFZON PARK 와부 덕소스크린,경기 남양주시 와부읍 도곡리 1089-8 일신빌딩 4층,031-577-1991
GOLFZON PARK 와부 월문,경기 남양주시 와부읍 월문리 1054-2    (  2층),031-577-3307
GOLFZON PARK 진건 배양스크린 ,경기 남양주시 진건읍 배양리 480-6,031-574-0881
GOLFZON PARK 호평 준스크린,경기 남양주시 호평동 477-2 3층,031-559-3930
GOLFZON PARK 호평 T스크린,경기 남양주시 호평동 640 메인시네마 307호,031-593-2072
GOLFZON PARK 화도 창현스크린,경기 남양주시 화도읍 창현리 319,031-595-3398
GOLFZON PARK 화도 마석스크린,경기 남양주시 화도읍 창현리 482-11 화도프라자,031-595-0752
GOLFZON PARK 상패 드림스크린,경기 동두천시 상패동 77-12,031-859-7700
GOLFZON PARK 송내 햇빛스크린,경기 동두천시 송내동 510,031-858-5909
GOLFZON PARK 송내 그린스크린,경기 동두천시 지행동 691-5 영스포츠타운 2층 그린스크린골프존,031-864-1715
GOLFZON PARK 삼정 쌍용스크린,경기 부천시 삼정동 36-1 테크노파크 쌍용3차 302동 B08호,032-624-2200
GOLFZON PARK 상동 투나,경기 부천시 상동 461 투나 B2층 101호,032-622-7253
GOLFZON PARK 상동 투나연습장,경기 부천시 상동 461 투나 B2층 2호,032-622-7253
GOLFZON PARK 소사 K2스크린,경기 부천시 소사본동 244-33 삼원맨션 지하,032-345-6900
GOLFZON PARK 옥길 중심타운,경기 부천시 옥길동 744-1,000-0000-0000
