name,tel,addr
3단지해법영어교실,1577-5105,전남 나주시 그린로 154 엘에이치3단지303동202호
가경학원교실,01066951205,충북 청주시 흥덕구 가경로 9-6
가나교실,041-572-3063,
가남에듀교실,031)885-8461,
가능SK교실,031-838-0152,경기도 의정부시 가능동
가대교실,032-343-0555,경기도 부천시 원미구 역곡2동
가람비발디교실,1577-5105,
가야교실,031-395-1101,경기 군포시 오금동 가야A
가야반도보라교실,051-892-0503,부산 부산진구 가야2동 588 가야반도보라빌 상가 202호
가야벽산Grace,051-896-7555,부산 부산진구 가야동 가야벽산상가203호
가야엘리트교실,051-894-0789,부산 부산진구 당감2동 금호그랜드타운상가 229호
가야HB영어교실,010-8545-6915,경상남도 함안군 함안대로 600
가오아이파크교실,042-321-7250,가오동 은어송마을 3단지 아이파크 상가 2층
가운해법영어교실,031-569-5105,"경기 남양주시 가운로2길 55 (가운동, 메티스프라자)메티스 프라자 302호"
가음정더샵교실,1577-5105,"경남 창원시 성산구 원이대로863번길 19 (가음동, 창원더샵센트럴파크)"
가재우림교실,031-616-2948,경기도 평택시 가재동 
가좌 한신1교실,010-2744-2805,인천 서구 가좌동
가좌 한신교실,032-573-0588,인천 서구 가좌동
가평교실,010-2241-5671,경기 가평군 가평읍 향교로38-7번지 2층
각산엘리트교실,053-961-0584,대구 동구 각산동
간석아이원교실,032-426-3082,인천 남동구 간석동
갈마교실,042-524-0505,
갈매열매교실,1577-5105,
갈현초교교실,1577-5105,
감만스마트교실,051-638-1912,부산 남구 감만동
감만엘리트교실,051-631-0582,부산광역시 남구 우암로 34 (감만동 301)
감삼월드교실,1577-5105,
감정교실,1577-5105,경기도 김포시
강남대교실,1577-5105,경기 용인시 기흥구 구갈동
강남신명교실,1577-5105,
강남포이교실,1577-5105,서울 강남구 개포4동
강남프라임교실,02-578-0535,서울 강남구 도곡동 894-1 2층
강동드림교실,1577-5105,서울 강동구 성내동
강동엘리트교실,1577-5105,
강릉교동교실,1577-5105,
강릉동명교실,033-652-0506,강원도 강릉시 경강로 2539번길 15  2층
강릉어울림교실,1577-5105,"강원 강릉시 성덕로 328-9 (입암동, 금호M프라자) 1층"
강릉초홍제교실,033-655-0582,강원도 강릉시 토성로 102
강북교실,1577-5105,서울 성북구 장위동
강북교실,053-311-1120,대구 북구 읍내동 
강북벽산SK교실,1577-5105,서울특별시 강북구 솔샘로
강샘교실,1577-5105,대전광역시 서구 배재로 155-7
강서교실,,
강서초엘리트교실,6460-0016,
강일클로이교실,1577-5105,
강저프라임교실,1577-5105,충북 제천시 청풍호로10길 54
강진교실,061-433-0582,전남 강진군 강진읍평동리중앙로75
강하교실,1577-5105,경기도 양평군 강하면
개금반도보라교실,1577-5105,부산 부산진구 개금3동 371-15 2층
개금주공교실,051-895-3505,부산 부산진구 개금3동 개금주공 아파트 213-103
개금현대교실,051-898-0582,부산 부산진구 개금동 618-2 현대I아파트상가 219-205
개념원리교실,1577-5105,하남시 덕풍동
개똥이교실,051-727-1505,부산시 기장군 정관읍 모전리728 EG the 1 2차상가
개마무사빽쌤교실,0312825929,경기 용인시 기흥구 동백죽전대로527번길 100-1 (중동)
개봉이지교실,1577-5105,
개봉ELITE교실,1577-5105,
거모군자교실,031-493-0175,시흥시 거모동 군자로 523  건국빌딩3층
거모엘리트교실,031-494-2690,경기도 시흥시 거모동
거산풍림교실,1577-5105,충남 당진군 신평면 거산리 풍림@ 107-202호
거성아카데미교실,062-574-4700,광주광역시 북구 우치로537번길 5 벽산아파트 상가 2층
거여영재교실,1577-5105,
거제능포교실,010-5596-4851,"경남 거제시 능포로2길 35 ,3층 301호(정원상가)"
거제문동교실,055-632-0757,경남 거제시 문동동 대아푸른솔 상가 102호
거제사등엘리트교실,055-636-0579,경남 거제시 사등면 사곡리 영진자이온 상가 301호
거제상동교실,055-633-7993,경남 거제시 상동동 대동다숲A 상가 5층 502호
거제아주교실,055-682-3202,경남 거제시 아주로 73 석호해와루A상가 301호
거제옥포교실,055-688-2725,경남 거제시 옥포로17길 18
거제옥포덕산5차교실,010-7730-2016,경남 거제시 옥포동1274 덕산5차아파트상가204호
거제장평아내교실,055-637-6123,거제시 장평4로 64  청파해법영수학원
거제중곡교실,055-638-5188,"경남 거제시 중곡로 35 , 4층"
거제현대교실,051-853-5411,부산 연제구 거제3동
건대조이교실,02-446-5105,"서울 광진구 뚝섬로35길 16-20 (자양동, 자양우성3차아파트)"
건영교실,1577-5105,경기도 구리시 인창동
건영해법교실,1577-5105,관악구 신림로 3길 건영아파트 상가
검암풍림교실,032-568-2096,인천 서구 검암동
경남남해교실,010-9581-0112,경남 남해군 남해군 망운로 4-2번지 4층
경남산청교실,055-973-0709,경남 산청군 산청읍  꽃봉산로79번길 38
경남서부지사 직영교실,1577-5105,
경남아너스빌교실,1577-5105,경남아너스빌
경남의령교실,1577-5105,"경남 의령군 의령읍 의병로 223-1 (중동리, 정관장홍삼)"
경동교실,1577-5105,
경동별교실,461-3014,
경산옥곡교실,053-291-9905,경북 경산시 옥곡동
경서태평교실,1577-5105,인천 서구 경서동 태평샹베르1차아파트 상가2층
경수교실,1577-5105,
경일교실,1577-5105,대전 대덕구 한밭대로 1041 (오정동)
경주강동교실,054-762-2155,경북 경주시 강동면 유금리
경주엘렌교실,054-776-1256,경북 경주시 황성동 269-17 2층
경주엘리트교실,054-772-3257,경북 경주시 동천동
경주용강교문교실,054-748-3965,경북 경주시 용강동
계룡교실,1577-5105,계룡리슈빌
계룡금암교실,042-551-6637,
계룡대림교실,1577-5105,충남 계룡시 두마면 두계리 대림e-편한세상아파트
계룡리슈빌교실,1577-5105,
계상초Jinny교실,1577-5105,
계양장기교실,1577-5105,
고강베스트교실,032-671-8620,경기 부천시 오정구 고강동
고려왕수학교실,041 664 0737,충남 서산시 고운로 53 (읍내동)
고령G스쿨교실,01067700704,
고선생 영어교실,032-563-1366,인천서구 가정동
고암교실,043-643-0579,충북 제천시 고암동 고암아파트상가1층
고양교실,1577-5105,경기도 고양시 덕양구 고양동
고현이편한교실,010-6507-1555,경남 거제시 거제대로 4500-45 이편한세상 105-1204호
곡선교실,1577-5105,경기도 수원시 권선구 덕영대로1217번길 37
곡정교실,1577-5105,"경기 수원시 권선구 동수원로145번길 23 (권선동, 수원아이파크시티4단지)"
곤지암더오른해법영어교실,1577-5105,"경기 광주시 곤지암읍 곤지암로11번길 11-10 (곤지암리, 삼주노블리제아파트) 106-304"
곤지암킴스교실,1577-5105,
공덕삼성제1교실,02-717-7905,서울특별시 마포구 마포대로11길 43 드림빌딩 3층
공도어울림교실,031-611-0594,경기도 안성시 공도읍 만정리
공릉라이프교실,1577-5105,
공릉태강밀알교실,02-6225-6735,서울 노원구 공릉2동
공릉화랑교실,1577-5105,서울 노원구 공릉2동
공신영어교실,1577-5105,서울 중구 신당동 842번지 약수하이츠아파트 상가2층
공주신관교실,041-881-9800,충남 공주시 신관동
공주엘리트교실,041-857-2248,충남 공주시 신관동
공주옥룡교실,041-856-4627,충청남도 공주시 옥룡2길 19-6
공주우성TOP교실,041-855-7821,충남 공주시 우성면 동대리
관산교실,1577-5105,
관악타운교실,1577-5105,안양시 동안구 비산동 관악동성아파트
관양교실,1577-5105,
관양동편해법영어해오름교실,1577-5105,경기 안양시 동안구 관양동
관음동화교실,053-364-0585,대구광역시 북구 관음동 칠곡동화타운
광교Top교실,1577-5105,"경기 수원시 영통구 센트럴타운로22번길 36 (이의동, 광교센트럴타운60단지)"
광명교실,02-268-4553,경기 광명시 광명5동
광명초교실,1577-5105,
광명초e해법교실,1577-5105,
광명현대교실,02-897-8072,경기 광명시 하안동
광명혜나교실,02-261-0505,경기도 광명시 광명7동
광사오뚝이교실,031-846-0562,경기 양주시 광사동
광산교실,1577-5105,경기 광명시 광명3동 32-23
광양가야교실,1577-5105,전남 광양시 광영동
광양광영교실,061-795-0579,전라남도 광양시 영수길 4
광양블루빌교실,061-792-4497,전남 광양시 마동 1026번지 자연애 102동 1003호
광양성호교실,1577-5105,전남 광양시 중동
광양용강교실,061-763-8832,전남 광양시 광양읍 용강리
광양중동금광교실,1577-5105,
광양직영교실,1577-5505,전남 순천시 연향동
광장교실,010-7129-1621,565
광장아카데미교실,광장아카데미교실,광진구 광장동 566 2층
광주솔로몬교실,1577-5105,경기도 광주시 쌍령동 푸르지오APT 인근상가
광진지사직영교실,,
교림교실,054-841-3231,경북 안동시 단원로
교문초교실,1577-5105,
교촌교실,042-545-2343,
구례김샘교실,1577-5105,전라남도 구례군 구례읍
구로삼성래미안교실,1577-5105,서울 구로구 디지털로31길 90
구로태영교실,1577-5105,"서울특별시 구로구 구일로4길, 65"
구룡교실,1577-5105,경기도 안양시 만안구 석수1동
구룡엘리트교실,1577-5105,서울 강남구 포이동
구름산교실,1577-5105,경기 광명시 소하동
구리인창한진교실,010-5106-8676,경기도 구리시 인창동 한진그랑빌APT 107동 109호
구리탑교실,1577-5105,경기 구리시 수택1동
구미드림교실,054-463-5779,경상북도 구미시 상사서로 130 보성1차황실타운 상가동
구봉마을교실,1577-5105,대전 서구 관저동
구봉해법교실,1577-5105,경기도 화성시 병점2로 65 우남프라자
구서롯데캐슬교실,1577-5105,"부산 금정구 금강로 503 (구서동, 롯데캐슬골드2단지)"
구서SK교실,1577-5105,부산 금정구 금강로391번길 12 (구서동)
구암엘리트교실,053-324-0502,대구광역시 북구 태암로18길 5
구영명지Cindy교실,1577-5105,울산광역시 울주군 점촌4길 31
구영해법elite교실,010-2875-9998,울산 울주군 범서읍 점촌2길 24 (구영리)
구월퍼스트교실,032-465-8797,인천광역시 남동구 구월남로 182
구의아카데미교실,1577-5105,서울 광진구 구의동
구일campus교실,01040371206,서울 구로구 구일로4길 30
구정e교실,010-7141-5018,경북 포항시 남구 오천읍 구정리
구지교실,055-326-2583,김해시 구산로5번길 71 한일유앤아이아파트
구평드리머교실,1577-5105,"경북 구미시 인동가산로 250-6 (구평동, 3단지부영아파트) 상가동(318동)"
구포현대교실,051-335-6564,부산 북구 구포2동
국제백양교실,1577-5105,부산 부산진구 당감3동 791 국제쇼핑  4층 11호
군문교실,1577-5105,평택시 원평로 25번길 61
군산태영교실,063-467-2209,군산시 계산로 89 태영빌딩 4층
군서교실,1577-5105,
군위교실,054-382-1032,경북 군위군 군위읍 중앙길 56
군자교실,02-461-0545,서울 광진구 군자동 345~374
군포교실,1577-5105,경기 군포시 당동
군포엘리트교실,1577-5105,경기 군포시 번영로 380-1
굴포초교실,1577-5105,인천 부평구 삼산동 453-1
권선중앙교실,1577-5105,경기도 수원시 권선구 권선동
규리교실,051-532-0575,
그랜드교실,,
그리트교실,1577-5105,서울 중구 퇴계로 90길
그린교실,010-7452-2021,부산 수영구 광일로29번가길 37 (광안동)
그린빌교실,1577-5105,경기도 화성시 병점3로 158
글꽃교실,1577-5105,대전 중구 문화동 센트럴파크 2단지
글로벌교실,1577-5105,경기 수원시 권선구 탑동
금강교실,1577-5105,
금강수목원점교실,0117874445,서울 구로구 오류동 343
금강펜테리움교실,1577-5105,
금북솔로몬교실,1577-5105,서울 성동구 금호동1가
금빛1교실,053-314-5002,대구 북구 구암동
금빛교실,1577-5105,
금사교실,051-624-0501,부산광역시 금정구 금사로 60 다경빌딩 3층
금산케이탑교실,1577-5105,충남 금산군 금산읍 비단로 325
금샘교실,1577-5105,부산 금정구 남산동 973-5
금신교실,1577-5105,경기도 파주시
금암교실,1577-5105,경기 오산시 금암동
금오교실,1577-5105,
금오아이파크교실,1577-5105,경기 의정부시 부용로 87
금오중앙교실,1577-5105,경기도 의정부시 금오동
금일교실,1577-5105,
금천롯데캐슬해법영어2단지교실,028976589,서울 금천구 벚꽃로 30
금천박선생교실,01023580458,서울 금천구 시흥동 438-17
금천엘리트교실,1577-5105,충북 청주시 상당구 금천동
금촌교실,1577-5105,파주시
금호고려해법교실,1577-5105,
금호베스트교실,1577-5105,서울 성동구 금호동4가
금호비전 교실,1577-5105,서울 성동구 금호동2가
금호어울림교실,1577-5105,경기 남양주시 오남읍 금호어울림아파트 109동 103호
금호어울림교실,1577-5105,화성시 장지동
금호엘리트교실,1577-5105,
금화대우교실,010-2667-8000,
기린해법교실,1577-5105,강원 인제군 기린면
기산조이교실,051-248-1319,부산 서구 암남동
기산참누리교실,1577-5105,화성시 기산동
기산푸르지오교실,1577-5105,기산동푸르지오
기아e교실,1577-5105,
기안신미주교실,1577-5105,경기도 화성시 기안동
기업교실,1577-5105,강원 원주시 지정면
기흥효성해링턴교실,031-378-0594,기흥 효성 해링턴
길음교실,1577-5105,
길음엘리트교실,1577-5105,서울 성북구 길음동
길주교실,054-823-0579,
김민교실,010-2676-1070,울산 북구 화산로 14 (화봉동)
김승민교실,1577-5105,서울특별시 양천구 목동서로 340
김쌤해법영어교실,1577-5105,
김천시청교실,1577-5105,경상북도 김천시 시청6길 45 108동(우방아파트 상가동)
김천어모교실,054-432-3868,경상북도 김천시 어모문화3길 15
김포한국교실,1577-5105,김포시 감정동
꿈너머꿈교실,1577-5105,경기 화성시 능동 588-3
꿈마을교실,032-327-1890,경기도 부천시 원미구 중2동
꿈의숲해법영어,02 985 3500,서울 강북구 오현로34길 12 (번동)
꿈이룸교실,051-898-0579,부산 부산진구 개금동 1-12번지동원화인패밀리타운 상가동 106동206호
꿈이찬교실,02-821-4321,서울 동작구 상도동
나룰초교실,031-796-7985,경기 하남시 덕풍동 816-6
나룰초에이플러스교실,1577-5105,경기 하남시 덕풍북로259번길 19-6
낙민교실,051-552-9949,부산광역시 동래구 낙민동
남부엘리트교실,054 281 5554,경북 포항시 북구 중흥로 255 (죽도동)
남부초교실,033-263-5105,강원 춘천시 퇴계동
남산교실,033 -655-4399,강원도 강릉시 남부로 137번안길 17  3층
남산교실,054-633-1105,경북 영주시 휴천동
남산극동스타교실,1577-5105,
남산스타교실,1577-5105,부산광역시 금정구 남산동 126-22
남산초교실,043-857-0555,충북 충주시 용산동 남산초등학교정문앞
남산휴먼시아교실,1577-5105,대구 중구 남산4동
남양동교실,1577-5105,경기도 화성시 남양동
남양엘리트교실,1577-5105,
남양주 LUCY교실,010-9521-1220,"경기 남양주시 경춘로 468-40 (지금동, 힐스테이트 황금산) 111-101"
남원노암교실,1577-5105,"전북 남원시 노송로 1237 (노암동, 비안아파트) 상가 204호"
남원도통교실,063-635-3515,전북 남원시 도통동사무소 앞 1층
남원월락교실,010-3795-8638,전북 남원시 낙현길33 풍산누리안상가2층 죠셉해법영수학원
남원주교실,033-762-6543,강원 원주시 단구동
남원향교교실,1577-5105,남원시 향교동 중앙하이츠A 상가 2층
남지등용문교실,1577-5105,경남 창녕군 남지읍 동포4길 10-1 (남지리)
남창캠퍼스교실,052-239-0302,울산시 울주군 온양읍 대안리
남천교실,1577-5105,
내곡캠퍼스교실,033-655-0509,강원도 강릉시 강변로 114번길 7     2층
내곡프린스턴교실,1577-5105,서초구 내곡동
내동롯데교실,1577-5105,대전 서구 내동
내속리영어교실,1577-5105,
내수Dream교실,010-4400-6862,충북 청주시 청원구 내수읍 은곡리 천일@ 203-106
내안애교실,01028800609,충북 진천군 덕산읍 두촌리 3148
넘버원교실,033-522-0959,"강원 동해시 청운2길 17-10 (쇄운동, 소을빌딩) 1층"
노량진교실,1577-5105,
노블레스교실,010-3897-3214,서울 동작구 상도4동
노아교실,041-534-1779,
노원교실,1577-5105,서울 노원구 상계동
노원천년나무교실,1577-5105,대구 북구 노원동3가 928번지 천년나무아파트 104동
노은교실,042-477-2068,한라비발디 아파트 앞
노형뜨란채교실,,
노형솔루션교실,01025625277,제주특별자치도 제주시 광평중길 14 (노형동)
녹양교실,1577-5105,경기도 의정부시 녹양동
논산중앙교실,1577-5105,충청남도 논산시 취암동 954번지 2층
논현교실,1577-5105,서울 강남구 논현동 
논현한화7교실,1577-5105,
논현휴먼시아교실,032-427-1101,인천 남동구 논현동
논현MI교실,1577-5105,
누리교실,054-636-0048,경북 영주시 휴천동 499-2
뉴 이수베스트교실,070-4129-2082,서울특별시 동작구 동작대로39가길 55 동작동금강KCC아파트
뉴관악드림교실,1577-5105,"서울 관악구 성현로 80 (봉천동, 관악드림타운아파트)"
뉴그린베스트교실,051-583-0509,부산광역시 금정구 부곡4동 963-1 뉴그린아파트 상가3층 1호
뉴남현교실,02  3472 0555,서울 관악구 남현4길 14
뉴욕아카데미교실,1577-5105,
뉴포트교실,02-992-0579,서울시 도봉구 쌍문동 158
뉴해법영어교실,1577-5105,전남 광양시 광양읍 대림오성로 11
뉴해법영어스텝업수학교실,02 823 0579,서울 동작구 대방동 27길 111
느리울교실,1577-5105,
늘바른교실,1577-5105,광주 남구 양림동 22-58
능곡교실,1577-5105,경기도 고양시 덕양구 토당동
능곡교실,1577-5105,경기 고양시 덕양구 토당동
능실에이스교실,1577-5105,경기도 수원시 권선구 호매실동
다니엘교실,1577-5105,경기도 안산시 상록구 이동2길 21
다대현대교실,01028241595,부산 사하구 다대로 473
다빈치교실,1577-5105,
다사로움교실,062-962-0907,광주 광산구 산정동 1027 다사로움 2차 상가 203호
다사엘리트1교실,1577-5105,
다산가람교실,1577-5105,
다산교실,031-394-0505,경기도 군포시 오금동 
다산금강2차교실,010-2465-7511,경기도 남양주시 다산지금로 146번길 117 금강펜테리움2차 7511동 302호
다산초교실,031-567-0582,경기도 남양주시 다산순환로 325 다산아이파크상가 206호
다산힐스,1577-5105,경기도 남양주시 다산순환로 365
다산e편한교실,1577-5105,경기도 남양주시 다산중앙로 82번길 15
다솔교실,1577-5105,"충남 당진군 당진읍 281-2,2층"
다알교실,1577-5105,
다운Amy교실,010-2559-5833,울산광역시 중구 다운로 105
다원교실,010-5027-3438,경북 안동시 정하동
다해교실,1577-5105,행정리
단관교실,070-4078-3473,강원 원주시 관설동
단구교실,033-764-6925,강원 원주시 단구동
단양교실,1577-5105,충북 단양군 단양읍 삼봉로 252
달빛교실,1577-5105,경기도 고양시 덕양구 화중로 222
달산엘리트교실,1577-5105,정관읍 동원로얄듀크1차 109-805호
달서)범물태성교실,053-783-0595,대구시 수성구 범물동 1336
달서두류교실,1577-5105,대구 광역시 달서구 두류길 114
달서성남교실,053-264-8831,대구 달서구 두류동 825-9
달서월성교실,053-295-7570,대구광역시 달서구 월성로 20
달서이엠교실,1577-5105,대구 달서구 감삼동 197-4
담양교실,061-382-8410,전남 담양군 담양읍 지침5길
당감동일Dream교실,1577-5105,부산광역시 부산진구 백양관문로 115-1 당감동일스위트 102-1704
당동베스트교실,1577-5105,경기 군포시 고산로 250번길 19. 폴리프라자 202호.
당리엘리트교실,051)206-0555,부산 사하구 승학로 54 (당리동)
당산리더스교실,1577-5105,서울 영등포구 당산동
당진루프탑교실,010-7724-2111,충청남도 당진시 반촌로 108
당하엘리트교실,010-2928-8525,인천 서구  청마로 124 당하kcc아파트
대곡4단지 강산타운교실,01065165901,
대곡서한이다음교실,1577-5105,대구 달서구 대곡동 837
대구혁신도시교실,1577-5105,
대남교실,1577-5105,
대림교실,1577-5105,경기 화성시 청계동
대림제일교실,1577-5105,
대림한숲교실,1577-5105,경기 안양시 만안구 박달2동 대림한숲타운
대신교실,1577-5105,경남 창원시 진해구 안골동 356-11 대신학원
대연초교실,1577-5105,부산 남구 진남로 17-26
대영어학원교실,01082669815,105동905호
대우우성 리더스교실,031-435-0579,경기도 시흥시 장곡동
대우창일교실,1577-5105,서울 도봉구 창동
대운교실,1577-5105,충북 청주시 흥덕구 수곡2동
대원효성교실,1577-5105,
대월주공교실,1577-5105,경기도 수원시 장안구 정자동
대은초교실,1577-5105,서울 은평구 대조동 
대잠e교실,,경북 포항시 남구 대잠동
대전신평교실,1577-5105,
대정교실,043-543-7006,대전 유성구 대정동 312-2
대치연세아카데미교실,02-555-4310,서울 강남구 대치동 925-2
대현리더스교실,1577-5105,서울 강남구 대치동
대화교실,1577-5105,강원 평창군 대화면
대흥교실,1577-5105,대전광역시 중구 보문로 182-1
더나은교실,1577-5105,
더드림교실,010-7616-9631,
더베스트교실,1577-5105,
더블라썸교실,1577-5105,성남시 중원구 양현로 469번지
더블린교실,2658-0594,서울 강서구 가양동
더샵교실,1577-5105,경기 화성시 봉담읍 와우로34번길 63
더앱솔해법영어교실,02 905 9905,서울 도봉구 쌍문동
더큰학원교실,0624462650,북구 용봉동
더하이스트교실,02-2217-9492,서울 동대문구 전농동
더휴조이교실,1577-5105,대구 북구 매천로동17길 18
덕계푸르지오교실,1577-5105,
덕동교실,1577-5105,경기 평택시 비전동
덕림교실,1577-5105,"광주 남구 월산로132번길 9 (월산동, 덕림제일파크맨션)"
덕상교실,1577-5105,
덕성교실,051-338-5558,부산 북구 덕천동
덕소도곡초교실,031-577-8205,"경기 남양주시 와부읍 덕소로 180 (도곡리, 덕소두산위브아파트) 상가동 302호 해법영어교실"
덕소주공교실,031-521-0905,경기도 남양주시 와부읍 덕소리  주공2차 203동 101호
덕암행복한교실,042-934-0133,"대전 대덕구 덕암로 200 (평촌동, 행복한 마을 아파트)"
덕양지사 직영교실,1577-5105,경기 고양시 덕양구 행신동 981
덕의초교실,1577-5105,
덕이교실,031-818-8536,경기 고양시 일산서구 덕이동 1542 덕이지구 신성플라자 704호
덕일엘리트교실,043-646-0542,충북 제천시 신백동
덕정1교실,1577-5105,
덕풍2교실,1577-5105,경기도 하남시 덕풍동
덕풍초교실,1577-5105,경기 하남시 덕풍동 357-66
덕풍한솔교실,010-4712-4988,경기도 하남시 덕산로 66 2층
덕현교실,1577-5105,호계동
데시앙교실,1577-5105,서울 중랑구 신내1동
도곡초교실,1577-5105,경기 광주시 초월읍 경충대로 1065
도구교실,054-281-3620,경북 포항시 남구 동해면 약전리
도남엘리트교실,1577-5105,
도농부영교실,031-512-1999,경기도 남양주시 도농동 부영아파트 513동 205호
도두리마을교실,032-553-3795,도두리로 58 도두리마을 롯데아파트 513동 304호
도래울엘리트교실,1577-5105,
도련엘리트교실,010-3955-0446,삼화부영아파트6단지
도림2동교실,1577-5105,서울 영등포구 도림2동
도마 엘리트교실,1577-5105,대전 서구 도마동
도봉엘리트교실,1577-5105,
도봉월드교실,02 3494 2266,서울 도봉구 마들로 650
도성교실,1577-5105,서울 강남구 역삼2동
도신초교실,1577-5105,서울 영등포구 가마산로48길 4-8
도안리슈빌교실,1577-5105,
도안엘리트교실,1577-5105,
도안top교실,042-541-5105,
도암초해법영어교실,1577-5105,
독립문삼호교실,1577-5105,서울 서대문구 영천동 
돈암명지교실,1577-5105,
돌마교실,031-705-0532,경기도 성남시 분당구 야탑동
동광이화교실,064-752-7905,제주특별자치도 제주시 태성로 21 일도성환아파트 상가동
동교초교실,1577-5105,서울특별시 마포구 망원로 39
동구수정교실,051-644-4542,부산 동구 좌천1동 692-5번지 2층
동그라미교실,1577-5105,경기도 안산시 단원구 광덕서로 52 우석프라자
동대구교실,053-939-0508,대구 동구 신암3동 
동백참진교실,03180059424,경기 용인시 기흥구 동백6로 39
동변그린빌교실,1577-5105,
동산교실,063-213-0905,전북 전주시 덕진구 동산동 푸른한의원 2층
동산엘리트교실,1577-5105,대구광역시 수성구 동대구로38길 82
동산우남교실,1577-5105,전북 익산시 동산동
동서울링컨교실,1577-5105,서울 서초구 반포동 1-8 경남쇼핑센터 3층
