name,addr
좌동SK뷰교실,부산광역시 해운대구 좌동
메트로팔레스1교실,대구 수성구 만촌로 120 (만촌동)
덕소강빛교실,경기 남양주시 와부읍 덕소리 주공아파트 301 ~ 310
진해충무교실,경남 창원시 진해구 태평동 84-44
별내스위첸교실,경기 남양주시 별내면
최강국어논술교실,대구 달서구 이곡동
평택세교교실,경기 평택시 세교동
부영교실,경기 남양주시 도농동 부영아파트
야음글샘교실,"울산 남구 야음로 24 (야음동, 야음동부아파트)"
첨단채움해법학원,광주 광산구 산월동 885-1
야탑목련교실,"경기 성남시 분당구 야탑로 237 (야탑동, 백마빌딩)"
인창삼보교실,경기 구리시 인창동
대천교실,대구광역시 달서구 대천동
남해교실,경남 남해군 남해읍 아산리
송강1교실,대전 유성구 송강동
인창동양교실,경기 구리시 인창동
부곡 경남한신교실,부산 금정구 부곡동
백석한아름교실,충남 천안시 서북구 백석동
답십리두산교실,서울 동대문구 답십리동 4-13
신창교실,광주 광산구 신창동
신화규글쓰기교실,"인천 남동구 만수서로 36 (만수동, 향촌휴먼시아2단지아파트)"
이명재국어논술교습소,"충남 예산군 예산읍 예산로 59 (주교리, 구억말빌딩)"
안성공도교실,경기 안성시 공도읍 만정리
동안부영교실,경기 안양시 동안구 평촌동
용방마을교실,대전광역시 동구 용운동
슬기교실,광주 서구 상무버들로 34 (유촌동)
거제중곡교실,경남 거제시 고현동
생각나무교실,"경기 시흥시 진말로 7 (장곡동, 한샘학원)"
강동교실,대구 동구 신서동
평택비전교실,"경기 평택시 용죽1로 14 (용이동, 평택 비전 푸르지오)"
신서혁신교실,대구 동구 반야월북로 242 (신서동)
중국 심천 교실,경기 안양시 동안구 평촌동
봉담 명문교실,경기 화성시 봉담읍 동화길 93-16 (동화리)
율전책꿈교실,경기 수원시 장안구 율전동 1~250
안성잎새교실,경기 안성시 금산길 48-8 (금산동)
도안채움교실,대전 유성구 상대동
독서와국어논술송산,"경기 화성시 수노을1로 147 (새솔동, 송산그린시티요진와이시티)"
하남덕풍교실,경기 하남시 신장동
금오교실,충남 예산군 예산읍 역전로126번길 46 (산성리)
깊은생각국어논술전문,"전북 익산시 고봉로26길 16 (영등동, 노벨문구완구)"
늘푸른동아교실,서울특별시 중랑구 면목4동
주엽교실,"경기 고양시 일산서구 강선로 116 (주엽동, 강선마을2단지아파트)"
해법독서논술 창의와논리,"서울 마포구 망원로 39 (망원동, 노블캐슬)"
중리캐슬교실,대구 서구 중리동 중리롯데캐슬아파트
오투그란데교실,전북 군산시 수송동 군산수송동제일오투그란데2단지아파트
