name,addr,tel
화정5교실,"광주광역시 서구 염화로31번길 19 (화정동, 우미아파트)",
청주가경2교실,충청북도 청주시 흥덕구 가경동 1515 덕일한마음아파트,
평화일성1교실,"전라북도 전주시 완산구 평화19길 20 (평화동1가, 일성아파트)",
안동안기교실,경상북도 안동시 제비원로 275 (안기동),054-855-4151
김해주촌1교실,경상남도 김해시 주촌면 천곡리 1371-12,
전주효자이룸1교실,전라북도 전주시 완산구 호암로 61 (효자동2가),
전주금암1교실,전라북도 전주시 덕진구 조경단로 52 (금암동),
무주1교실,전라북도 무주군 무주읍 한수로 18,
광주운암1교실,광주광역시 북구 동운로213번길 28 (운암동),062-971-9655
부산대연1교실,부산광역시 남구 진남로 167-1 (문현동),
부산해운대화목교실,부산광역시 해운대구 좌동 1310 해운대화목타운,
대전관저1교실,"대전광역시 서구 구봉산북로 52 (관저동, 관저더샵2차)",042--
화성정남1교실,경기도 화성시 정남면 만년로 451,031-353-2110
상주복룡1교실,경상북도 상주시 복룡3길 25 (복룡동),054-536-2253
부산망미1교실,부산광역시 수영구 수미로35번길 15 (망미동),
부산정관동일2차교실,부산광역시 기장군 정관읍 정관3로 23 (정관동일스위트 2차),
순천조례1교실,전라남도 순천시 조례1길 19 (조례동),061-726-4747
창원자은1교실,"경상남도 창원시 진해구 냉천로 257 (자은동, 엘에이치자은프라임)",
구미송정1교실,경상북도 구미시 송정동 490-9,054-457-3377
화성산척1교실,"경기도 화성시 동탄순환대로7길 22 (산척동, 더레이크시티부영5단지)",
대전송강교실,대전광역시 유성구 송강동 200-4 한마을아파트,
구미인의1교실,경상북도 구미시 인동13길 22 (인의동),
구미구포1교실,경상북도 구미시 옥계2공단로 264-18 (구포동),
양산범어1교실,경상남도 양산시 물금읍 범어로 11 (일신건영휴먼빌아파트),
광주매곡2교실,광주광역시 북구 매곡로 55 (매곡동),062-576-0542
부산만덕3교실,부산광역시 북구 만덕1로 94 (만덕동),051-715-0542
부산덕포1교실,"부산광역시 사상구 덕상로 20 (덕포동, 덕포신익타운)",
익산동산교실,전라북도 익산시 동천로1길 2 (동산동),
밀양상남교실,경상남도 밀양시 상남면 상남로 1187-5,055-353-0582
구미형곡주공교실,"경상북도 구미시 신시로 37 (형곡동, 주공아파트)",
진주하대1교실,경상남도 진주시 도동로184번길 6 (하대동),055-752-0395
안양안양1교실,경기도 안양시 만안구 병목안로 127 (안양동),
구미옥계해마루교실,"경상북도 구미시 산호대로 955 (옥계동, 세영리첼 더프라임)",
동해발한파크힐교실,"강원도 동해시 지리골길 31 (발한동, 현대비에스앤씨 현대썬앤빌 동해파크힐)",
(중국)test학원,서울특별시 마포구 월드컵북로 396 (상암동),
