name,addr,tel
감초당온누리,"서울 동대문구 한천로 242,106 (전농동,1층)",02-438-1314
건강한온누리,"경기 안산시 단원구 고잔동 529-4 제1층 101호,102호",070-7570-0478
늘푸른온누리,"경기 시흥시  복지로 75, 1층(대야동)",031-313-3332
동인프라자온누리,서울 강남구 수서동 713 현대벤처빌 1층 117-2호,02-3411-3388
메디칼온누리,경기 안양시 동안구 비산동 1033-2,031-476-3838
보현온누리,서울시 용산구 용산동2가 1-530,02-775-1981
산소온누리,"경기 안양시 만안구 박달로 431, 105호(박달동,청암빌딩)",031-468-0825
서진온누리,"충북 청주시 흥덕구  내수동로 2 (복대동,새롬메디빌딩102호)",043-269-3357
세계로온누리,"서울 광진구 화양동 48-14, 15,161층",02-466-0253
소망온누리,서울 광진구 능동로 318 (중곡동),02-2201-2236
수빈온누리,서울 강동구 풍성로 114-1 (성내동),02-471-2276
안동온누리,경북 안동시 경북대로 474 (송현동),054-856-7004
엘르온누리,부산 해운대구 좌동 1473-2 엘리움상가1층 106,051-930-0500
열린온누리,경기 고양시 일산서구 탄현동 1577-1 풍성프라자 103,031-921-8141
온누리,서울시 마포구 성산동 51-18,02-322-3450
우리가족건강 온누리,"경기 오산시 경기대로 189 104(원동,메딕프라자 104호~105호)",031-377-6161
정문온누리,서울 은평구 진흥로 196 (녹번동),02-549-3003
주상가건강온누리,경남 창원시 성산구 상남동  45-1 504-2,055-261-1862
춘천온누리,강원 춘천시 우두동 707-35 디시클럽내,033-242-8015
평화온누리,서울시 동작구 사당1동 1046-13,02-582-5353
푸른온누리,"서울 광진구  천호대로 527, 1층(중곡동, 거산빌딩)",02-466-7675
하늘天온누리,강원 춘천시  삭주로 75(교동),033-242-8000
한숲온누리,대전시 대덕구 중리동 245-8,042-622-9337
153온누리,"서울 성동구  왕십리로 410,K동 1층 106호(하왕십리동,센트라스153타워)",02-2291-9153
365박달온누리,"경기 안양시 만안구  양화로 112, 101호(박달동)",031-465-3512
365열린온누리,인천 남구  낙섬중로 105(용현동),032-891-0012
3층온누리,"경기 용인시 기흥구  기흥역로 63 (구갈동, AK앤기흥)",031-307-2882
3층온누리,"서울 마포구  월드컵북로 230, 305호(중동,현대상가)",02-306-4743
SK온누리,"서울 강북구 솔샘로 184,상가동1층112호,113호(미아동,SK북한산시티)",02-983-8895
sk오렌지온누리,"경기 수원시 장안구  이목로 24-3, 1층 109호 (정자동)",031-271-3260
w-store행복온누리,"경기 수원시 팔달구  중부대로 110(인계동, 한라시그마팰리스)",031-241-1009
가까운온누리,경기 성남시 분당구 구미동 23-1 분당프라자 403-1,031-712-7300
가까운온누리,"경기 안산시 단원구  광덕대로 181 (고잔동,3층309호)",031-411-7823
가까운온누리,"경기 화성시 향남읍 상신하길로 66, 102호(드림시티빌딩)",031-353-6050
가까운온누리,경북 포항시 남구  희망대로 614(대잠동),054-277-9695
가까운온누리,서울 양천구 신정동  321-6 센트럴프라자 106,02-2650-8828
가까운온누리,울산 중구  외솔큰길 207(남외동),052-297-3500
가까운이화온누리,서울 송파구 풍납2동 271-15,02-489-4384
가나메디칼온누리,인천 부평구 부평동 199-20 가나베스트텔 1층,032-504-9662
가디온누리,"서울 금천구  가산디지털1로 171, 117호(가산동, 가산에스케이브이원센터)",02-6674-5544
가락온누리,"서울 송파구 동남로 207, 102(가락동)",02-400-3332
가야온누리,서울시 도봉구 창동 331-1 삼원프라자1층,02-997-4540
가양마트온누리,서울 강서구 가양3동 449-19 이마트가양점 2층,02-2658-1770
가양메디칼온누리,서울시 강서구 가양동 1479-4 302-2,02-3661-3055
가양온누리,"서울 강서구 허준로 198, 1층 104,105호(가양동)",02-3663-8013
가오온누리,대전 동구 가오동 647 지티엠빌딩제1층 102,042-286-1023
가온온누리,경기 파주시 와동동 교하신도시엔비-4블럭외1필지신운정프라자1층104,031-947-1577
가재울온누리,서울 서대문구  거북골로 120 3-1(남가좌동 가재울센트레빌@상가),02-302-5855
가정온누리,"인천광역시 서구 청중로 486, 105호(가정동,부일프라자)",032-566-7809
가정온누리,제주 제주시 외도일동 548-1,064-711-5275
가촌온누리,경남 양산시 물금읍 야리로 45 102호,055-364-2120
가평온누리,경기 가평군 가평읍 가화로 113,031-581-8777
간석온누리,"인천 남동구  경원대로 971, 2층(간석동, 홈플러스)",032-868-6682
간석태평양온누리,인천 남동구 간석1동 523-9,032-424-8655
갈매도움온누리,"경기 구리시  갈매길 121-34,갈매지구 상업3-3블럭 메이저타워105호(갈매",031-572-1356
감초당온누리,광주 광산구 송정2동 791-1,062-942-5931
감초당온누리,충남 연기군 조치원읍 정리 102-3,044-865-3629
감초온누리,경기 가평군 설악면 신천중앙로88번길 1,031-585-1008
감초온누리,"경기 안산시 단원구 선부1동 1078-2 112,113",031-403-0305
강남리더스 온누리,"서울 강남구  헌릉로 569, 1층 105호(세곡동, 강남리더스프라자)",02-3414-8001
강남메디칼온누리,서울시 강남구 대치동 1019-1 신사빌딩 1층,02-568-6644
강남새천년온누리,"서울 강남구  도곡로 523, 1층(대치동)",02-552-3524
강남온누리,경북 경주시 외동읍 입실리 997-17,054-741-0210
강남온누리,"서울 강남구  선릉로 406, 102호(대치동)",02-566-6480
강남우리온누리,서울 강남구 삼성동 141-33 리치타워빌딩 101,02-565-7940
강남제일온누리,서울 강남구 역삼동 646-9 신중앙빌딩1층,02-555-7790
강동온누리,"서울 강동구  천호대로187길 53, 1층(길동)",02-473-6464
강림온누리,"부산 동래구  충렬대로237번길 3, 1층(수안동, 로덴빌딩)",051-552-6929
강변프라자온누리,"서울 광진구  광나루로56길 5,1층107,108,109호(구의동, 현대프라임아파트상가)",02-3437-3027
강산온누리,대구 달서구 송현동 1029-1 우방상가 107-103,053-634-9503
강서연세온누리,서울 강서구 화곡동 1111-2 귀뚜라미홈시스템 103,02-2606-1531
강서자이온누리,"서울 강서구 양천로 401 (가양동,강서한강자이타워A동 109-2호)",02-2638-5233
강서홈온누리,"서울 강서구  화곡로 398, 1층(등촌동, 홈플러스 강서점)",02-2659-1823
강온누리,강원 속초시 조양동 1503-8,033-638-6226
강온누리,경상남도 합천군 합천읍 합천리 411-1 1층 102,055-931-3161
강원온누리,강원 춘천시  금강로 69. 101호(조양동),033-252-4249
개포종로온누리,"서울 강남구  선릉로 42, 104(개포동,104호~105호)",02-578-3841
갤러리아온누리,서울 강남구  선릉로 843 유성상가 107호 (신사동),02-517-0129
거평원온누리,"서울 강남구  봉은사로 129, 지하1층(논현동, 거평타운)",02-544-4567
건강나라온누리,"경기 과천시  별양상가2로 20, 1층 13호(별양동, 새서울프라자)",02-3418-6464
건강드림온누리,경기 고양시 일산서구 대화동 2206 스타타워빌딩 101,031-911-8275
건강마을온누리,인천 남동구 만수1동 982번지 신성빌딩 101,032-465-8319
건강백세온누리,경기 안성시 고삼면 고삼호수로 10,031-672-8836
건강백화점온누리,"인천 계양구  계양문화로 96, 112호,113호(용종동, 강북프라자)",032-545-1535
건강샘온누리,광주 동구  제봉로 207(대인동),062-223-5587
건강샘온누리,서울 강서구  까치산로 73 (화곡동),02-2062-0155
건강샘온누리,서울 구로구 신도림동 337번지 신도림1차푸르지오상가2층 219호237호,02-3439-8373
건강샘온누리,"서울 노원구  동일로243길 33, 1층 1호(상계동)",02-931-5688
