name,addr,tel,time
춘천롯데마트,강원도 춘천시 방송길 84(온의동) 롯데마트 춘천점,033-257-1318,10:00 ~21:00
춘천이마트,강원도 춘천시 경춘로 2353이마트 춘천점,033-244-1318,10:00 ~21:00
춘천명동대리점,강원도 춘천시 명동길 13-1(조양동),033-252-7747,10:00 ~21:00
T춘천롯데마트,강원도 춘천시 방송길 84(온의동) 롯데마트 춘천점,033-257-1318,10:00 ~21:00
T강릉이마트,강원도 강릉시 경강로 2398-10(송정동),033-561-7402,10:00 ~21:00
속초,강원도 속초시 중앙로 94(청학동),033-631-5592,10:00 ~21:00
동해대리점,강원도 동해시 중앙로 248(천곡동),033)533-1888,10:00 ~21:00
원주HYS(상설),강원도 원주시 원일로 61(일산동),033)745-2574,10:00 ~21:00
강릉대리점,"강원도 강릉시 경강로 2100(임당동,신영상가내)",033-643-7400,10:00 ~21:00
태백대리점,강원도 태백시 황지로153(황지동),033-552-3106,10:00 ~21:00
AK원주,강원도 원주시 봉화로1(단계동),033-811-5778,10:00 ~20:00
신양구,강원도 양구군 양주읍 중앙길 14,033)481-8877,10:00 ~21:00
속초이마트,"강원도 속초시 설악금강대교로 12(청호동, 이마트내)",033-631-5592,10:00 ~21:00
T속초이마트,"강원도 속초시 설악금강대교로 12(청호동, 이마트내)",033-631-5592,10:00 ~21:00
삼척점,"강원도 삼척시 척주로 26, 104호 (남양동)",033-573-4441,10:00 ~21:00
원주,강원도 원주시 원일로 127(일산동),033-746-9339,10:00 ~21:00
원주HYS,강원도 원주시 원일로 61(원동),033-745-2574,10:00 ~21:00
T신양구,강원도 양구군 양주읍 중앙길14,033-481-8877,10:00 ~21:00
T태백대리점,강원도 태백시 황지로153(황지동),033-552-3106,10:00 ~21:00
평창,강원도 평창군 평창읍 평창중앙로24,033-333-3338,10:00 ~21:00
T평창,강원도 평창군 평창읍 평창중앙로24,033-333-3338,10:00 ~21:00
이마트강릉점,"강원도 강릉시 경강로2398-10(송정동, 이마트)",033-651-7402,10:00 ~21:00
이마트강릉점(행사),"강원도 강릉시 경강로2398-10(송정동, 이마트)",033-651-7402,10:00 ~21:00
원주점(행사),강원도 원주시 원일로127,033-746-9339,10:00 ~21:00
T풍무홈플러스,경기도 김포시 풍무로 167(풍무동) 홈플러스 풍무점,031-987-8197,10:00 ~21:00
성남세이브존,경기도 성남시 수정구 산성대로 337(신흥동) 세이브존 성남점,031-730-1699,10:00 ~21:00
롯데파주상설,경기도 파주시 회동길 390 롯데아울렛 파주점 B-1 1층,031-960-2908,10:00 ~21:00
죽전이마트,경기도 용인시 수지구 포은대로 552(죽전동) 이마트 죽전점,031-898-0096,10:00 ~21:00
T하남이마트,경기도 하남시 덕풍서로 70이마트 하남점,031-791-2471,10:00 ~21:00
T서수원이마트,경기도 수원시 권선구 수인로 291(구운동) 이마트 서수원점,031-294-6882,10:00 ~21:00
AK수원,경기도 수원시 팔달구 덕영대로 924(매산로1가) AK백화점,031-240-1808,10:00 ~20:00
의정부녹양HYS,경기도 의정부시 평화로758번길 6G동 101호,031)821-8890,10:00 ~21:00
신세계의정부,"경기도 의정부시 평화로 525(의정부동,신세계백화점)",031-8082-0661,10:00 ~20:00
롯데분당,경기도 성남시 분당구 황새울로200번길 45  (수내동),031-738-2515,10:00 ~20:00
광명소하이마트,경기도 광명시 소하로 97(소하동) 이마트 광명소하점,02-897-5356,10:00 ~21:00
수원이마트,경기도 수원시 권선구 경수대로 270(권선동)？이마트 수원점,031-207-1286,10:00 ~21:00
서수원이마트,경기도 수원시 권선구 수인로 291(구운동) 이마트 서수원점,031)294-6882,10:00 ~21:00
수지이마트,경기도 용인시 수지구 수지로 203(신봉동) 이마트 수지점,031)264-9669,10:00 ~21:00
T오산이마트,경기도 오산시 경기대로 181(원동) 이마트 오산점,031-372-2384,10:00 ~21:00
롯데파주직영,경기도 파주시 회동길 390 롯데아울렛 파주점 B-1 1층,031-960-2908,10:00 ~20:00
김포홈플러스,경기도 김포시 중봉로 14(감정동)  홈플러스 김포점,031-981-8197,10:00 ~21:00
풍무홈플러스,경기도 김포시 풍무로 167(풍무동) 홈플러스 풍무점,031)987-8197,10:00 ~21:00
안산고잔NC,경기도 안산시 단원구 광덕대로 194NC백화점 고잔점,031-436-4308,10:00 ~20:00
금촌,경기도 파주시 문화로 103-2,031)941-2343,10:00 ~21:00
소래정은패션아울렛,경기도 시흥시 수인로 3433  정은패션타운(신천동),031)311-3703,10:00 ~21:00
고양HYS(상설),경기도 고양시 일산서구 탄중로 101번지13 (덕이동) A동,031)921-7477,10:00 ~21:00
의정부녹양HYS(상설),경기도 의정부시 평화로758번길 6G동 101호,031)821-8890,10:00 ~21:00
여주,경기도 여주시 세종로14번길 6-1(홍문동),031)885-2132,10:00 ~21:00
부천대리점,경기도 부천시 원종동 374-2 능력프라자 1층(원종동),032)676-8988,10:00 ~21:00
의정부HYS,경기도 의정부시 행복로 27,031)846-3393,10:00 ~21:00
산본뉴코아,경기도 군포시 번영로 504(산본동) 뉴코아아울렛,031-392-0196,10:00 ~21:00
김포HYS,경기도 김포시 양촌읍 김포대로 1641,031-986-7878,10:00 ~21:00
의정부HYS(상설),경기도 의정부시 행복로 27,031)846-3393,10:00 ~21:00
T광명소하이마트,경기도 광명시 소하로 97(소하동) 이마트 광명소하점,02-897-5356,10:00 ~21:00
화정세이브존,경기도 고양시 덕양구 화정로 52(화정동) 세이브존 화정점,031)970-1991,10:00 ~21:00
현대킨텍스,경기도 고양시 일산서구 호수로 817 현대백화점 5층,031-822-3530,10:00 ~20:00
롯데중동,경기도 부천시 원미구 길주로 300  (중동),032)320-7530,10:00 ~20:00
롯데구리,경기도 구리시 경춘로 261  (인창동),031)550-7546,10:00 ~20:00
김포HYS(상설),경기도 김포시 양촌읍 김포대로 1641,031)986-7878,10:00 ~21:00
T수원이마트,경기도 수원시 권선구 권선동 1189 이마트2층,031-207-1286,10:00 ~21:00
이천이마트,경기도 이천시 이섭대천로 1440-50(증포동),031-637-3311,10:00 ~21:00
영통롯데쇼핑,경기도 수원시 영통구 봉영로 1579(영통동) 롯데쇼핑 영통점,031-204-1335,10:00 ~21:00
고양HYS,경기도 고양시 일산서구 탄중로101번지 13 (덕이동) A동,031)921-7477,10:00 ~21:00
T이천이마트,경기도 이천시 이섭대천로 1440-50(증포동),031-637-3311,10:00 ~21:00
분당2001,경기도 성남시 분당구 미금일로 154번길 20(구미동),031-719-4799,10:00 ~20:00
용인,경기도 용인시 처인구 금령로 105(김량장동),031)335-2618,10:00 ~21:00
오산이마트,경기도 오산시 경기대로 181(원동)  이마트 오산점,031)372-2384,10:00 ~21:00
시화이마트,경기도 시흥시 정왕대로 210(정왕동) 이마트 시화점,031-497-5082,10:00 ~21:00
평촌뉴코아,경기도 안양시 동안구 동안로 119(호계동)？뉴코아아울렛 평촌점,031-388-0211,10:00 ~20:00
하남이마트,경기도 하남시 덕풍서로 70이마트 하남점,031-791-2471,10:00 ~21:00
T죽전이마트,경기도 용인시 수지구 포은대로 552,031-898-0096,10:00 ~21:00
양주VPlusHYS,"경기 양주시 평화로1597번길 41 (회정동,1층)",031-894-2645,10:00 ~21:00
롯데구리직영,경기도 구리시 동구릉로136번길 47(인창동) 롯데아울렛 5층,031-8034-2513,10:00 ~20:00
롯데구리상설,경기도 구리시 동구릉로136번길 47(인창동) 롯데아울렛 5층,031-8034-2513,10:00 ~21:00
롯데수원,경기도 수원시 권선구 세화로 124(서둔동),031-8066-0544,10:00 ~20:00
가평,경기도 가평군 가평읍 가화로 112,031-582-4346,10:00 ~21:00
T안산고잔NC,경기도 안산시 단원구 광덕대로 194 안산NC 4층,031-436-4308,10:00 ~21:00
롯데광명상설,경기 광명시 일직로 17(롯데 프리미엄 아울렛 광명점) 3층,02-6226-2387,10:00 ~21:00
롯데광명직영,경기 광명시 일직로 17(롯데 프리미엄 아울렛 광명점) 3층,02-6226-2387,10:00 ~20:00
스타필드고양직영,"경기도 고양시 덕양구 고양대로1972-6, 2층 2256호 (동산동)",031-5173-2069,10:00 ~21:00
성남직영상설,경기도 성남시 수정구수정로 115(태평동),031-753-5566,10:00 ~21:00
성남직영,경기도 성남시 수정구수정로 115(태평동),031-753-5566,10:00 ~21:00
구리남양주모다직영,경기도 구리시 갈매동 268-33층 프로스펙스,031-514-8554,10:00 ~21:00
구리남양주모다직영상설,경기도 구리시 갈매동 268-33층 프로스펙스,031-514-8554,10:00 ~21:00
분당이마트,경기도 성남시 분당구불정로 134 이마트 분당점 2층,0317155560,10:00 ~21:00
T분당이마트(행사),경기도 성남시 분당구불정로 134 이마트 분당점 2층,01044175550,10:00 ~21:00
