name,addr,tel
하안주공교실,경기 광명시 하안동 ,02-899-3305
무원교실,경기 고양시 덕양구 행신동 ,031-938-0590
은천교실,서울특별시 관악구 은천로 92 (봉천동),02-3285-1605
문정교실,서울특별시 송파구 송이로 202 (문정동),02-3012-0588
서부지사(강월교실),서울특별시 양천구 지양로 58 (신월동),02-2061-2382
광명서초등교실,경기도 광명시 광오로 19 (광명동),02-2687-0905
광명초교실,경기 광명시 광명2동 ,02-2686-3381
명일교실,서울 강동구 명일동 ,02)427-1606
은행캠퍼스,경기 시흥시 대야동 ,031-312-2226
인왕교실,서울 서대문구 홍제3동 ,02)3417-0533
방학1교실,서울 도봉구 방학동 ,02-956-7909
하안북초교실,경기 광명시 하안동 ,02-899-0365
명문지혜교실,서울 강서구 방화1동 ,02-2664-7982
둔촌교실,서울 강동구 둔촌동 ,02-472-0594
북가좌교실,서울특별시 서대문구 응암로 59 (북가좌동),02-3151-0582
창동교실,서울 도봉구 창2동 ,02-904-0556
양오학원,경기도 남양주시 오남읍 양지로281번길 14,031-527-9934
연희1교실,서울 서대문구 연희동 ,02-322-3385
강서교실,서울특별시 강서구 공항대로41길 65 (등촌동),02-2601-0607
구름산초교실,경기 광명시 소하1동 ,070-8692-0560
성산1교실,서울 마포구 중동 ,02-372-3405
종로1교실,서울특별시 성북구 보문로13길 31 (보문동6가),02-924-2777
매봉초교실,서울 구로구 개봉동 ,02-2625-3305
신월교실,서울 양천구 신월동 ,02-2693-3405
신구로초교실,"서울특별시 구로구 가마산로27길 66 (구로동, 아스타빌)",02-861-3305
목동교실(서울),서울특별시 양천구 신정동 ,02-3487-7766
가락교실,서울 송파구 가락동 ,02-402-6179
선유교실,서울특별시 영등포구 선유로47길 15 (양평동4가),02-2634-0533
동원초교실,서울 중랑구 망우본동 ,02-434-3405
공덕교실,서울 마포구 신공덕동 ,02-711-3437
석촌교실,서울특별시 송파구 가락로11길 21 (석촌동),02-420-1410
수진교실,경기 성남시 수정구 태평동 ,031-758-3407
은행초교실,경기 성남시 중원구 은행동 ,031-733-3407
영등포교실,서울특별시 영등포구 신길6동 ,02-843-0507
충현초교실,"경기도 광명시 성채안로 26 (소하동, 광명역세권휴먼시아)",02-863-1414
서울남부지사(소하초교실),"경기도 광명시 소하로 162 (소하동, 휴먼시아7단지아파트)",02-897-3305
용마초교실,서울 광진구 중곡동 ,02-455-0512
천왕초교실,서울특별시 구로구 천왕로 32 (천왕동),02-2066-3405
오산초교실,경기도 오산시 누읍로 10 (누읍동),031-372-7805
성남신흥1교실,경기도 성남시 수정구 수정로 219-1 (태평동),031-742-2539
마천교실,서울 송파구 마천동 ,02-3401-0509
금강수목원교실,"서울특별시 구로구 오리로 1197 (오류동, 금강수목원아파트)",02-2060-3305
백운교실,서울특별시 강북구 우이동 ,02-902-0905
고리울교실,경기 부천시 오정구 고강동 ,032-671-3777
